math score,reading score,writing score,gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_standard,test preparation course_none,Result
61,55,52,True,False,False,True,False,False,False,False,False,False,True,True,1
59,69,65,True,False,True,False,False,False,False,False,False,True,False,False,1
55,56,51,True,False,False,False,True,False,True,False,False,False,False,True,1
45,53,55,False,True,False,False,False,False,False,False,True,False,False,True,1
78,79,76,False,True,False,False,False,True,False,False,False,False,False,True,1
67,84,86,False,False,True,False,False,False,False,False,False,False,True,False,1
65,81,77,False,False,False,True,False,False,False,False,True,False,False,True,1
69,77,69,True,False,True,False,False,False,False,False,False,False,True,True,1
57,69,68,False,True,False,False,False,False,False,False,False,False,True,True,1
59,41,42,True,False,True,False,False,False,False,False,True,False,True,True,1
74,71,78,True,False,False,True,False,False,False,False,False,True,True,False,1
82,62,62,True,False,False,False,True,True,False,False,False,False,True,True,1
81,80,76,True,False,False,False,True,False,True,False,False,False,True,False,1
74,81,76,False,True,False,False,False,False,False,False,True,False,False,True,1
58,61,66,False,True,False,False,False,False,False,False,True,False,False,True,1
80,79,79,True,False,False,True,False,False,False,False,False,True,False,False,1
35,28,27,True,False,True,False,False,False,False,False,True,False,False,True,0
42,62,60,False,False,True,False,False,False,True,False,False,False,False,True,1
60,51,56,True,False,True,False,False,False,False,False,False,False,False,False,1
87,91,81,True,False,False,False,True,False,True,False,False,False,True,False,1
84,83,75,True,True,False,False,False,False,False,False,False,True,True,False,1
83,86,88,False,False,False,False,True,False,False,False,False,False,False,False,1
34,42,39,False,False,True,False,False,False,True,False,False,False,False,True,0
66,77,70,True,True,False,False,False,False,True,False,False,False,False,True,1
61,56,56,True,True,False,False,False,False,False,False,False,True,True,False,1
56,68,74,False,False,False,True,False,False,True,False,False,False,True,False,1
87,85,73,True,True,False,False,False,False,False,False,False,False,True,True,1
55,65,62,False,False,True,False,False,False,False,False,False,True,False,True,1
86,80,75,True,False,False,True,False,False,False,False,False,True,True,True,1
52,66,73,False,True,False,False,False,False,False,False,False,False,True,False,1
45,56,54,False,False,False,False,True,False,False,True,False,False,False,True,1
72,72,71,False,False,True,False,False,False,False,False,True,False,True,True,1
57,50,54,True,False,False,True,False,False,True,False,False,False,True,True,1
68,72,64,True,False,False,False,False,False,False,False,False,True,False,True,1
88,95,94,False,False,True,False,False,False,False,False,True,False,True,False,1
76,64,66,True,False,False,True,False,False,False,False,True,False,True,True,1
46,43,42,True,False,True,False,False,False,False,False,False,False,True,True,1
67,86,83,False,True,False,False,False,True,False,False,False,False,True,True,1
92,87,78,True,False,False,False,True,False,False,False,False,True,True,True,1
83,82,84,True,False,True,False,False,True,False,False,False,False,True,False,1
80,75,77,True,False,False,True,False,False,False,False,False,False,True,True,1
63,66,67,True,False,False,True,False,True,False,False,False,False,False,True,1
64,60,74,False,False,False,True,False,False,False,False,False,True,True,False,1
54,52,51,True,True,False,False,False,False,False,False,True,False,True,True,1
84,80,80,True,False,True,False,False,False,False,False,False,False,True,True,1
73,68,66,True,False,False,True,False,False,True,False,False,False,False,False,1
80,83,83,False,False,False,False,True,True,False,False,False,False,True,True,1
56,52,55,False,False,False,True,False,False,True,False,False,False,True,True,1
59,51,43,True,False,False,False,True,False,False,False,True,False,True,True,1
75,74,69,True,False,False,True,False,False,False,False,False,True,True,True,1
85,76,71,True,False,True,False,False,False,False,False,False,False,True,True,1
89,76,74,True,False,False,False,True,False,False,False,False,False,True,True,1
58,70,68,False,True,False,False,False,False,True,False,False,False,True,False,1
65,64,62,False,True,False,False,False,False,True,False,False,False,True,True,1
68,60,53,True,False,True,False,False,False,True,False,False,False,True,True,1
47,49,49,True,False,False,False,False,False,False,False,False,True,True,False,1
71,83,83,False,False,False,True,False,False,False,False,True,False,False,True,1
60,70,70,False,True,False,False,False,False,False,False,False,True,True,False,1
80,80,72,True,False,False,True,False,False,False,True,False,False,True,True,1
54,52,52,True,False,False,True,False,False,True,False,False,False,True,True,1
62,73,70,False,False,False,False,True,False,False,False,True,False,True,True,1
64,73,68,False,False,True,False,False,False,False,False,False,False,False,True,1
78,77,77,True,False,True,False,False,False,False,False,False,False,True,False,1
70,75,78,False,True,False,False,False,False,False,False,True,False,True,True,1
65,81,81,False,False,True,False,False,False,False,True,False,False,False,False,1
64,79,77,False,False,True,False,False,False,False,False,False,True,False,False,1
79,79,78,True,False,True,False,False,False,False,False,True,False,True,False,1
44,50,51,False,False,True,False,False,False,False,False,False,True,False,True,1
99,93,90,False,False,False,False,True,False,True,False,False,False,True,True,1
76,73,68,True,False,False,True,False,False,True,False,False,False,True,True,1
59,42,41,True,False,False,True,False,False,False,False,False,True,False,True,1
63,75,81,False,False,True,False,False,True,False,False,False,False,True,True,1
69,72,77,False,False,False,True,False,False,True,False,False,False,True,True,1
88,92,95,False,False,False,True,False,False,False,False,False,False,True,False,1
71,76,70,False,False,False,False,True,False,False,False,True,False,False,True,1
69,63,61,True,False,True,False,False,True,False,False,False,False,True,True,1
58,49,42,True,False,True,False,False,False,False,False,True,False,True,True,1
47,53,58,False,False,False,True,False,False,False,False,False,False,False,True,1
65,70,71,False,False,False,True,False,False,False,False,True,False,True,True,1
88,85,76,True,True,False,False,False,False,False,False,True,False,True,False,1
83,78,73,True,False,True,False,False,True,False,False,False,False,True,True,1
85,92,93,False,False,True,False,False,False,False,False,False,True,True,False,1
59,63,75,False,False,False,False,True,False,True,False,False,False,True,False,1
65,86,80,False,False,True,False,False,False,False,False,False,True,False,True,1
73,56,57,True,True,False,False,False,True,False,False,False,False,False,True,1
53,52,42,True,False,False,True,False,False,True,False,False,False,True,True,1
45,48,46,True,False,False,True,False,False,True,False,False,False,True,True,1
73,79,84,False,False,False,True,False,True,False,False,False,False,False,True,1
70,78,78,False,False,False,True,False,False,False,False,True,False,False,False,1
37,46,46,False,True,False,False,False,False,False,False,False,True,True,True,0
81,82,82,True,True,False,False,False,False,False,False,False,False,True,False,1
97,82,88,True,False,False,False,True,False,False,False,False,False,True,False,1
67,89,82,False,True,False,False,False,False,False,False,False,True,True,True,1
88,75,76,True,True,False,False,False,True,False,False,False,False,False,True,1
77,76,77,True,False,False,False,True,False,False,False,False,True,True,False,1
76,70,68,True,False,True,False,False,False,False,False,False,False,True,True,1
86,73,70,True,False,False,True,False,False,False,False,False,True,True,True,1
63,60,57,True,False,True,False,False,False,False,False,False,True,True,False,1
65,73,75,False,False,False,False,True,True,False,False,False,False,True,True,1
78,77,80,True,False,False,True,False,False,True,False,False,False,False,False,1
67,62,60,True,True,False,False,False,False,False,False,False,False,False,True,1
46,41,43,True,False,False,False,False,False,False,False,False,True,True,False,1
71,74,68,True,False,False,False,True,False,False,False,False,False,True,False,1
40,46,50,True,False,True,False,False,False,True,False,False,False,False,False,1
90,87,75,True,False,False,True,False,False,False,False,False,False,False,True,1
81,78,81,True,False,False,False,False,False,False,False,True,False,False,False,1
56,54,52,True,False,False,True,False,False,False,False,False,True,False,True,1
67,84,81,False,False,True,False,False,False,False,False,False,False,True,False,1
80,76,64,True,True,False,False,False,False,False,False,False,False,True,True,1
74,75,83,False,False,True,False,False,False,False,False,False,False,True,False,1
69,67,69,True,False,False,False,False,False,False,False,True,False,True,True,1
99,87,81,True,False,False,False,True,False,False,False,True,False,True,False,1
51,52,44,True,False,True,False,False,False,False,False,False,True,True,True,1
53,71,67,False,True,False,False,False,False,False,False,False,False,False,True,1
49,57,52,False,False,False,True,False,False,True,False,False,False,False,True,1
73,76,80,False,True,False,False,False,False,False,False,False,False,True,True,1
66,60,57,True,True,False,False,False,True,False,False,False,False,True,True,1
67,61,68,True,False,False,True,False,True,False,False,False,False,True,False,1
68,67,69,False,False,True,False,False,False,False,False,False,False,False,False,1
59,64,75,False,False,True,False,False,True,False,False,False,False,True,False,1
71,66,65,True,False,True,False,False,False,True,False,False,False,True,True,1
77,82,91,False,False,False,True,False,False,False,True,False,False,True,False,1
83,72,78,True,False,True,False,False,False,False,False,False,False,True,True,1
63,71,69,True,True,False,False,False,True,False,False,False,False,True,True,1
56,65,63,False,False,False,True,False,False,False,False,False,False,False,True,1
67,79,84,False,False,True,False,False,False,True,False,False,False,False,False,1
75,86,79,False,False,False,False,True,False,True,False,False,False,True,True,1
71,81,80,False,False,True,False,False,False,False,False,True,False,True,True,1
43,53,53,False,False,True,False,False,False,False,False,False,True,False,True,1
41,46,43,False,False,True,False,False,False,True,False,False,False,False,True,1
82,90,94,False,False,True,False,False,False,False,False,True,False,True,True,1
61,61,62,True,False,True,False,False,False,False,False,True,False,True,True,1
28,23,19,True,False,False,False,False,False,False,False,True,False,False,True,0
82,75,77,True,False,True,False,False,False,False,False,False,False,True,False,1
41,55,51,False,True,False,False,False,False,False,False,False,True,True,True,1
71,60,61,True,False,True,False,False,False,True,False,False,False,True,True,1
47,37,35,True,False,True,False,False,False,False,False,False,False,True,True,1
62,56,53,True,False,False,False,True,False,False,False,False,False,True,False,1
90,78,81,True,True,False,False,False,False,False,False,False,False,True,True,1
83,93,95,False,False,True,False,False,True,False,False,False,False,True,True,1
61,68,66,False,True,False,False,False,False,False,False,True,False,False,True,1
76,70,69,True,False,False,True,False,False,False,False,False,True,True,False,1
49,51,43,True,False,True,False,False,False,False,False,False,False,True,True,1
24,38,27,False,True,False,False,False,False,False,False,False,True,False,True,0
35,55,60,False,False,False,True,False,False,False,False,False,True,False,False,0
58,61,52,True,False,True,False,False,False,True,False,False,False,False,True,1
61,73,63,False,False,True,False,False,False,True,False,False,False,True,True,1
69,76,74,False,True,False,False,False,False,True,False,False,False,True,False,1
67,72,67,True,False,False,True,False,False,False,False,False,False,True,False,1
79,73,67,True,False,False,True,False,False,False,False,True,False,True,True,1
72,80,75,False,False,True,False,False,False,True,False,False,False,True,True,1
62,61,57,True,True,False,False,False,False,False,False,True,False,True,True,1
77,94,95,False,False,True,False,False,True,False,False,False,False,True,False,1
75,74,66,True,False,False,True,False,False,True,False,False,False,False,True,1
87,74,76,True,False,False,False,True,False,False,False,False,False,True,True,1
52,65,69,False,True,False,False,False,True,False,False,False,False,True,True,1
66,57,52,True,False,False,False,True,False,False,False,True,False,True,True,1
63,78,80,False,False,True,False,False,False,False,False,True,False,True,False,1
46,58,57,False,False,True,False,False,False,False,False,False,False,True,True,1
59,71,70,False,False,True,False,False,False,False,False,True,False,True,True,1
61,72,70,False,True,False,False,False,True,False,False,False,False,True,True,1
63,61,61,True,False,False,False,False,False,False,False,False,False,True,True,1
42,66,69,False,False,True,False,False,False,False,False,True,False,False,False,1
59,62,61,True,False,False,True,False,False,False,False,True,False,False,True,1
80,90,89,False,False,False,True,False,False,False,False,True,False,True,True,1
58,62,59,False,True,False,False,False,False,True,False,False,False,True,True,1
85,84,78,True,True,False,False,False,False,False,False,False,True,True,False,1
52,58,58,False,False,True,False,False,False,False,False,True,False,True,True,1
27,34,32,False,False,False,True,False,False,False,False,False,True,False,True,0
59,60,58,True,False,True,False,False,False,False,False,True,False,True,True,1
49,58,60,True,False,False,False,False,True,False,False,False,False,False,False,1
69,58,53,True,False,True,False,False,False,True,False,False,False,True,False,1
61,66,61,True,False,True,False,False,True,False,False,False,False,False,True,1
44,64,58,False,False,False,False,False,False,False,False,False,True,False,True,1
73,84,85,False,False,False,True,False,False,False,False,False,True,True,True,1
84,77,71,True,False,False,False,True,False,False,False,True,False,True,True,1
45,73,70,False,False,True,False,False,False,False,False,True,False,False,False,1
74,74,72,True,False,False,True,False,False,False,False,False,True,True,True,1
82,97,96,False,False,False,True,False,False,False,False,True,False,True,False,1
59,70,73,False,False,False,True,False,True,False,False,False,False,True,True,1
46,43,41,True,False,False,False,True,False,False,False,False,False,False,True,1
80,90,82,False,False,False,True,False,False,False,False,False,True,True,True,1
85,95,100,False,False,False,True,False,False,False,True,False,False,False,False,1
71,83,77,False,False,False,False,False,False,False,False,False,True,True,True,1
66,64,62,True,False,False,False,False,True,False,False,False,False,True,True,1
80,86,83,False,True,False,False,False,False,False,False,False,False,True,True,1
87,100,95,True,False,True,False,False,False,False,False,False,False,True,False,1
79,81,71,True,False,True,False,False,False,False,True,False,False,False,True,1
38,49,45,False,False,False,False,True,False,False,False,False,True,False,True,0
38,43,43,False,False,False,False,False,False,False,False,False,True,False,True,0
67,76,75,False,False,False,False,True,False,False,False,True,False,True,True,1
64,73,70,False,False,False,False,True,True,False,False,False,False,True,True,1
57,78,67,False,False,True,False,False,False,False,False,False,False,False,True,1
62,64,64,False,False,False,True,False,False,True,False,False,False,True,True,1
73,70,75,True,False,False,True,False,False,False,True,False,False,True,True,1
73,67,59,True,False,False,False,True,False,False,False,False,True,False,False,1
77,68,77,False,False,False,True,False,False,False,False,True,False,True,True,1
76,67,67,True,False,False,False,True,False,False,False,True,False,True,True,1
57,54,56,True,False,True,False,False,False,False,False,False,False,True,False,1
65,74,77,False,False,True,False,False,False,False,False,False,True,True,False,1
48,45,41,True,False,False,False,False,False,True,False,False,False,False,True,1
50,67,63,False,True,False,False,False,False,True,False,False,False,False,True,1
85,89,95,False,False,True,False,False,False,False,False,False,False,True,True,1
74,63,57,True,True,False,False,False,False,False,False,False,True,True,True,1
60,59,54,True,False,False,True,False,False,False,False,False,True,True,True,1
59,54,67,False,False,True,False,False,False,False,False,False,True,True,False,1
53,43,43,True,False,False,False,False,False,False,False,True,False,True,True,1
49,65,55,False,False,False,False,False,False,False,False,True,False,False,True,1
88,99,100,False,False,False,True,False,False,True,False,False,False,True,False,1
54,59,62,False,False,True,False,False,False,True,False,False,False,True,True,1
63,73,68,False,False,True,False,False,False,False,False,False,True,True,True,1
65,65,63,True,True,False,False,False,False,False,False,False,False,True,False,1
82,80,77,False,True,False,False,False,False,False,False,False,False,True,True,1
52,57,56,False,False,False,True,False,False,True,False,False,False,False,False,1
87,84,85,True,False,False,True,False,False,False,False,False,False,True,False,1
70,71,74,False,False,False,True,False,False,False,True,False,False,True,False,1
84,83,78,True,False,False,False,True,False,False,False,True,False,True,False,1
71,66,60,True,False,False,True,False,False,False,False,False,False,True,True,1
63,67,67,True,True,False,False,False,False,False,False,False,True,True,False,1
51,72,79,False,False,True,False,False,True,False,False,False,False,False,False,1
84,73,69,True,False,False,False,True,False,True,False,False,False,True,True,1
71,74,68,True,False,True,False,False,True,False,False,False,False,True,False,1
74,73,67,True,False,True,False,False,False,False,False,False,False,True,True,1
68,59,62,True,False,False,True,False,False,False,False,True,False,True,True,1
57,56,54,True,False,False,False,True,False,True,False,False,False,False,False,1
82,93,93,False,False,True,False,False,False,False,False,False,False,False,False,1
57,58,64,False,False,False,True,False,False,True,False,False,False,True,False,1
47,58,67,False,False,False,True,False,False,False,True,False,False,False,False,1
59,85,80,False,False,False,False,False,False,False,False,False,True,True,False,1
41,39,34,True,True,False,False,False,False,False,False,True,False,False,True,1
62,67,62,False,False,True,False,False,False,False,False,True,False,False,True,1
86,83,86,True,False,True,False,False,True,False,False,False,False,True,True,1
69,71,65,True,False,True,False,False,False,False,False,False,True,False,True,1
65,59,53,True,False,False,False,False,False,False,False,False,True,False,True,1
